date,m2
1959/1/1,289.8
1959/2/1,287.7
1959/3/1,287.9
1959/4/1,290.2
1959/5/1,290.2
1959/6/1,292.5
1959/7/1,294.4
1959/8/1,294.8
1959/9/1,296.1
1959/10/1,296.9
1959/11/1,297.8
1959/12/1,300.6
1960/1/1,301.5
1960/2/1,298.5
1960/3/1,298.2
1960/4/1,300.3
1960/5/1,298.9
1960/6/1,300.9
1960/7/1,303.5
1960/8/1,305.2
1960/9/1,307.8
1960/10/1,309.9
1960/11/1,311.7
1960/12/1,315.3
1961/1/1,317.5
1961/2/1,316.6
1961/3/1,317.2
1961/4/1,320.2
1961/5/1,320
1961/6/1,322.7
1961/7/1,324.9
1961/8/1,325.8
1961/9/1,328.8
1961/10/1,331.5
1961/11/1,334.1
1961/12/1,338.5
1962/1/1,341.1
1962/2/1,340.3
1962/3/1,342.1
1962/4/1,346
1962/5/1,345
1962/6/1,347.7
1962/7/1,350.1
1962/8/1,350.9
1962/9/1,353.9
1962/10/1,357.5
1962/11/1,360.5
1962/12/1,365.8
1963/1/1,369.1
1963/2/1,368
1963/3/1,369.8
1963/4/1,373.8
1963/5/1,373.4
1963/6/1,376.7
1963/7/1,380.2
1963/8/1,381.5
1963/9/1,384.9
1963/10/1,388.8
1963/11/1,392.3
1963/12/1,396.4
1964/1/1,399.5
1964/2/1,397.6
1964/3/1,398.9
1964/4/1,402.4
1964/5/1,401.3
1964/6/1,405.3
1964/7/1,409.3
1964/8/1,411.1
1964/9/1,415.7
1964/10/1,419.9
1964/11/1,422.9
1964/12/1,428.3
1965/1/1,432.3
1965/2/1,430.1
1965/3/1,432.2
1965/4/1,436.2
1965/5/1,433.7
1965/6/1,438.4
1965/7/1,442.1
1965/8/1,443.3
1965/9/1,448.4
1965/10/1,453.6
1965/11/1,456.7
1965/12/1,463.1
1966/1/1,467.1
1966/2/1,463.7
1966/3/1,465.9
1966/4/1,470.1
1966/5/1,466.2
1966/6/1,469.6
1966/7/1,470.3
1966/8/1,470.1
1966/9/1,474.6
1966/10/1,476.9
1966/11/1,478.1
1966/12/1,483.7
1967/1/1,486.4
1967/2/1,483.6
1967/3/1,488.1
1967/4/1,492.9
1967/5/1,493.3
1967/6/1,500.9
1967/7/1,506.2
1967/8/1,508.6
1967/9/1,514.2
1967/10/1,519.3
1967/11/1,521.6
1967/12/1,528
1968/1/1,531.9
1968/2/1,528.1
1968/3/1,531.6
1968/4/1,536.9
1968/5/1,535.4
1968/6/1,542.2
1968/7/1,546.2
1968/8/1,547.6
1968/9/1,553.1
1968/10/1,558.5
1968/11/1,562.5
1968/12/1,569.7
1969/1/1,573.5
1969/2/1,569.1
1969/3/1,572.8
1969/4/1,577.4
1969/5/1,573.5
1969/6/1,578.7
1969/7/1,580.6
1969/8/1,578.4
1969/9/1,581.3
1969/10/1,583.7
1969/11/1,584.8
1969/12/1,590.1
1970/1/1,592
1970/2/1,583.4
1970/3/1,587.3
1970/4/1,592.9
1970/5/1,590.8
1970/6/1,597.5
1970/7/1,601.2
1970/8/1,603
1970/9/1,608.7
1970/10/1,614
1970/11/1,618.2
1970/12/1,627.8
1971/1/1,635.5
1971/2/1,638
1971/3/1,650
1971/4/1,663.5
1971/5/1,666.1
1971/6/1,675.9
1971/7/1,682.3
1971/8/1,683.7
1971/9/1,689.7
1971/10/1,695.6
1971/11/1,701.2
1971/12/1,711.2
1972/1/1,720
1972/2/1,722.2
1972/3/1,733.7
1972/4/1,743.8
1972/5/1,742.6
1972/6/1,753.2
1972/7/1,763
1972/8/1,767
1972/9/1,775.2
