date,m1
1983/6/1,503.5
1983/7/1,510.5
1983/8/1,508.2
1983/9/1,511.4
1983/10/1,517.2
1983/11/1,521.8
1983/12/1,533.3
1984/1/1,530.2
1984/2/1,516.9
1984/3/1,523.2
1984/4/1,539.9
1984/5/1,530.7
1984/6/1,541.4
1984/7/1,543.3
1984/8/1,539
1984/9/1,542.5
1984/10/1,542.2
1984/11/1,549.8
1984/12/1,564.6
1985/1/1,561.1
1985/2/1,551.9
1985/3/1,558.4
1985/4/1,575.1
1985/5/1,569.3
1985/6/1,585.2
1985/7/1,592
1985/8/1,594.9
1985/9/1,602
1985/10/1,605.3
1985/11/1,614.9
1985/12/1,633.3
1986/1/1,626.6
1986/2/1,612.8
1986/3/1,624.3
1986/4/1,647
1986/5/1,645.7
1986/6/1,662.8
1986/7/1,673.4
1986/8/1,678.4
1986/9/1,684.5
1986/10/1,692.2
1986/11/1,708.8
1986/12/1,739.8
1987/1/1,737.1
1987/2/1,717.1
1987/3/1,723.1
1987/4/1,752
1987/5/1,739.3
1987/6/1,743.8
1987/7/1,746.2
1987/8/1,744.2
1987/9/1,744.5
1987/10/1,753.2
1987/11/1,755.5
1987/12/1,765.4
1988/1/1,764.2
1988/2/1,744.5
1988/3/1,751.6
1988/4/1,777.9
1988/5/1,763.4
1988/6/1,778.5
1988/7/1,785.5
1988/8/1,781
1988/9/1,779.7
1988/10/1,780.8
1988/11/1,786.9
1988/12/1,803.1
1989/1/1,792.1
1989/2/1,771.6
1989/3/1,774.6
1989/4/1,790.2
1989/5/1,766.1
1989/6/1,772.8
1989/7/1,780.7
1989/8/1,776.5
1989/9/1,777.7
1989/10/1,783.2
1989/11/1,790.2
1989/12/1,810.6
1990/1/1,800.7
1990/2/1,786.7
1990/3/1,794.5
1990/4/1,816.2
1990/5/1,795.5
1990/6/1,809
1990/7/1,811
1990/8/1,812.7
1990/9/1,817.1
1990/10/1,816.1
1990/11/1,824.6
1990/12/1,842.7
1991/1/1,831.7
1991/2/1,822.1
1991/3/1,833.7
1991/4/1,851.9
1991/5/1,840.3
1991/6/1,856.7
1991/7/1,860.9
1991/8/1,863.2
1991/9/1,865.4
1991/10/1,874
1991/11/1,892.3
1991/12/1,915.6
1992/1/1,916.4
1992/2/1,915.1
1992/3/1,929.6
1992/4/1,953.7
1992/5/1,942.9
1992/6/1,951
1992/7/1,962
1992/8/1,970.1
1992/9/1,982.7
1992/10/1,1000.8
1992/11/1,1021.4
1992/12/1,1045.6
1993/1/1,1039.8
1993/2/1,1021.9
1993/3/1,1030.5
1993/4/1,1057.4
1993/5/1,1056.8
1993/6/1,1071.8
1993/7/1,1083.1
1993/8/1,1088.1
1993/9/1,1098.8
1993/10/1,1111.6
1993/11/1,1129
1993/12/1,1153.3
1994/1/1,1141.7
1994/2/1,1123.8
1994/3/1,1131.1
1994/4/1,1152.2
1994/5/1,1132
1994/6/1,1141.8
1994/7/1,1150.9
1994/8/1,1144.1
1994/9/1,1146.4
1994/10/1,1147.9
1994/11/1,1156.2
1994/12/1,1174.5
1995/1/1,1159.5
1995/2/1,1135.3
1995/3/1,1139.3
1995/4/1,1160.3
1995/5/1,1134
1995/6/1,1141
1995/7/1,1145.7
1995/8/1,1139.3
1995/9/1,1138.4
1995/10/1,1132.9
1995/11/1,1138.6
1995/12/1,1152.7
1996/1/1,1130.2
1996/2/1,1105.8
1996/3/1,1118
1996/4/1,1131.8
1996/5/1,1105.9
1996/6/1,1115
1996/7/1,1110.7
1996/8/1,1097.7
1996/9/1,1091.7
1996/10/1,1078.4
1996/11/1,1087.4
1996/12/1,1105.8
1997/1/1,1087.9
1997/2/1,1066.8
1997/3/1,1069.2
1997/4/1,1074.5
1997/5/1,1054.7
1997/6/1,1064.8
1997/7/1,1065.8
1997/8/1,1069.1
1997/9/1,1059.5
1997/10/1,1057.6
1997/11/1,1074.1
1997/12/1,1097.5
1998/1/1,1080.2
1998/2/1,1066.2
1998/3/1,1075.9
1998/4/1,1087.7
1998/5/1,1070.8
1998/6/1,1075.2
1998/7/1,1074.2
1998/8/1,1069.3
1998/9/1,1070.6
1998/10/1,1077.4
1998/11/1,1098
1998/12/1,1121.2
1999/1/1,1103.9
1999/2/1,1085.2
1999/3/1,1097.5
1999/4/1,1113.6
1999/5/1,1096.4
1999/6/1,1098.2
1999/7/1,1097.2
1999/8/1,1092.8
1999/9/1,1086.2
1999/10/1,1095.1
1999/11/1,1113
1999/12/1,1148.2
2000/1/1,1126.9
2000/2/1,1097.4
2000/3/1,1108.9
2000/4/1,1125.7
2000/5/1,1100.4
2000/6/1,1101.8
2000/7/1,1102.8
2000/8/1,1094.5
2000/9/1,1088.8
2000/10/1,1092.2
2000/11/1,1092.1
2000/12/1,1111.7
2001/1/1,1100.4
2001/2/1,1089.8
2001/3/1,1111.2
2001/4/1,1126.7
2001/5/1,1114.7
2001/6/1,1126.3
2001/7/1,1139.7
2001/8/1,1144.5
2001/9/1,1193.6
2001/10/1,1159.2
2001/11/1,1169
2001/12/1,1208.5
2002/1/1,1191.8
2002/2/1,1178.3
2002/3/1,1196.8
2002/4/1,1196.9
2002/5/1,1186
2002/6/1,1194.7
2002/7/1,1200.4
2002/8/1,1182.3
2002/9/1,1185.8
2002/10/1,1196.6
2002/11/1,1205.3
2002/12/1,1245.5
2003/1/1,1225.5
2003/2/1,1225.5
2003/3/1,1245.1
2003/4/1,1259.6
2003/5/1,1266.6
2003/6/1,1284.7
2003/7/1,1287.9
2003/8/1,1292.2
2003/9/1,1286.2
2003/10/1,1288.8
2003/11/1,1293.9
2003/12/1,1332.5
2004/1/1,1301.8
2004/2/1,1306.7
2004/3/1,1337.9
2004/4/1,1343.2
2004/5/1,1333.4
2004/6/1,1347.7
2004/7/1,1338.8
2004/8/1,1352.6
2004/9/1,1349.1
2004/10/1,1351.4
2004/11/1,1371
2004/12/1,1401.5
2005/1/1,1361.5
2005/2/1,1355
2005/3/1,1381.7
2005/4/1,1369.4
2005/5/1,1369.5
2005/6/1,1384.3
2005/7/1,1365.4
2005/8/1,1376.9
2005/9/1,1363.5
2005/10/1,1365.4
2005/11/1,1373.6
2005/12/1,1397.2
2006/1/1,1375.5
2006/2/1,1362
2006/3/1,1394.7
2006/4/1,1393.6
2006/5/1,1392.1
2006/6/1,1379
2006/7/1,1368.6
2006/8/1,1370.6
2006/9/1,1347.4
2006/10/1,1360.3
2006/11/1,1368.5
2006/12/1,1387.7
2007/1/1,1369
2007/2/1,1347.5
2007/3/1,1378.4
2007/4/1,1392.3
2007/5/1,1385.6
2007/6/1,1370.8
2007/7/1,1368.6
2007/8/1,1372.8
2007/9/1,1356.3
2007/10/1,1369.4
2007/11/1,1370.5
2007/12/1,1394.9
2008/1/1,1375.9
2008/2/1,1365.9
2008/3/1,1401.1
2008/4/1,1406.6
2008/5/1,1396.5
2008/6/1,1407.3
2008/7/1,1417.7
2008/8/1,1401.3
2008/9/1,1441.5
2008/10/1,1462.6
2008/11/1,1513.7
2008/12/1,1632.3
2009/1/1,1580.7
2009/2/1,1552
2009/3/1,1594.9
2009/4/1,1627.7
2009/5/1,1617.9
2009/6/1,1661.7
2009/7/1,1657.7
2009/8/1,1651.3
2009/9/1,1641
2009/10/1,1664.3
2009/11/1,1683.1
2009/12/1,1724.4
2010/1/1,1674.2
2010/2/1,1685.2
2010/3/1,1729.5
2010/4/1,1716
2010/5/1,1708.2
2010/6/1,1732.3
2010/7/1,1718.4
2010/8/1,1739.6
2010/9/1,1741.4
2010/10/1,1767.4
2010/11/1,1828.7
2010/12/1,1871.4
2011/1/1,1855.6
2011/2/1,1858.7
2011/3/1,1909.4
2011/4/1,1918
2011/5/1,1934.2
2011/6/1,1954.1
2011/7/1,1994.5
2011/8/1,2101.9
2011/9/1,2099.1
2011/10/1,2128.1
2011/11/1,2164.4
2011/12/1,2208.1
2012/1/1,2209.2
2012/2/1,2194.5
2012/3/1,2246
2012/4/1,2268.6
2012/5/1,2248.4
2012/6/1,2271
2012/7/1,2314.6
2012/8/1,2334.6
2012/9/1,2358
2012/10/1,2416.2
2012/11/1,2415.2
2012/12/1,2509.8
2013/1/1,2481.3
2013/2/1,2455.7
2013/3/1,2497.2
2013/4/1,2542.3
2013/5/1,2518.5
2013/6/1,2523.5
2013/7/1,2543.7
2013/8/1,2537.4
2013/9/1,2555.7
2013/10/1,2618.1
2013/11/1,2606.8
2013/12/1,2715.4
2014/1/1,2701.5
2014/2/1,2706
2014/3/1,2773
2014/4/1,2809.6
2014/5/1,2782.2
2014/6/1,2824.8
2014/7/1,2841.2
2014/8/1,2790.2
2014/9/1,2834.6
2014/10/1,2865
2014/11/1,2861.1
2014/12/1,2992
2015/1/1,2941.1
2015/2/1,2979.6
2015/3/1,3023.9
2015/4/1,3035.4
2015/5/1,2975.9
2015/6/1,3020.7
2015/7/1,3038.4
2015/8/1,3022.3
2015/9/1,3016.3
2015/10/1,3011.9
2015/11/1,3056.2
2015/12/1,3141.1
2016/1/1,3094.3
2016/2/1,3097.4
2016/3/1,3181.2
2016/4/1,3236.5
2016/5/1,3237.3
2016/6/1,3250.1
2016/7/1,3248.5
2016/8/1,3323
2016/9/1,3300.9
2016/10/1,3330.7
2016/11/1,3327.3
2016/12/1,3383
2017/1/1,3380.6
2017/2/1,3339.4
2017/3/1,3460.6
2017/4/1,3466.2
2017/5/1,3496.7
2017/6/1,3501.7
2017/7/1,3532.7
2017/8/1,3567.6
2017/9/1,3526.2
2017/10/1,3582.4
2017/11/1,3580.8
2017/12/1,3636.4
2018/1/1,3635.5
2018/2/1,3557.3
2018/3/1,3685
